prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Raden Intan Bandar Lampung  - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam
UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sumatera Utara Medan - Akuntansi Syari'ah
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Al-Ahwal Al-Syakhsiyyah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Gunung Djati Bandung  - Ilmu Hadits
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Imam Bonjol Padang - Pendidikan Bahasa Arab,UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah)
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Syarif Hidayatullah Jakarta - Perbankan Syariah,UIN Imam Bonjol Padang - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sultan Syarif Kasim Riau  - Pendidikan Bahasa Arab,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam,UIN Imam Bonjol Padang - Bimbingan dan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sumatera Utara Medan - Manajemen Dakwah
UIN Sumatera Utara Medan - Pendidikan Bahasa Arab,IAIN Tulungagung  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),IAIN Malikussaleh Lhokseumawe  - Astronomi Islam ( Ilmu Falak )
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sumatera Utara Medan - Sejarah Peradaban Islam,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sumatera Utara Medan - Sosiologi Agama
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sultan Syarif Kasim Riau  - Bimbingan Konseling Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
