prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Raden Fatah Palembang - Ekonomi Syariah,UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Syarif Hidayatullah Jakarta - Aqidah dan Filsafat Islam,UIN Sunan Ampel Surabaya  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Raden Fatah Palembang - Bimbingan Dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini
UIN Walisongo Semarang  - Pengembangan Masyarakat Islam,IAIN Surakarta - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Indonesia,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Fatah Palembang - Psikologi Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah),UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Fatah Palembang - Bahasa dan Sastra Arab,UIN Sunan Gunung Djati Bandung  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Raden Intan Bandar Lampung  - Hukum Ekonomi Syariah ( Muamalah ),UIN Raden Fatah Palembang - Hukum Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Raden Fatah Palembang - Psikologi Islam,UIN Raden Fatah Palembang - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Raden Fatah Palembang - Ekonomi Syariah
UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Hukum Keluarga ( Ahwal Syakhsiyyah ),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam
UIN Raden Fatah Palembang - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Fatah Palembang - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Surakarta - Perbankan Syariah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Syarif Hidayatullah Jakarta - Hukum Ekonomi Syariah (Muamalah)
UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Surakarta - Hukum Ekonomi Syariah 
UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Fatah Palembang - Ilmu al-Quran dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Tasawuf dan Psikoterapi,UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah)
UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI),UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Ar-Raniry Banda Aceh - Manajemen Dakwah,UIN Syarif Hidayatullah Jakarta - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Raden Fatah Palembang - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Raden Fatah Palembang - Pendidikan Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Surakarta - Psikologi Islam,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Raden Fatah Palembang - Jurnalistik,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Syarif Hidayatullah Jakarta - Manajemen Pendidikan
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Ampel Surabaya  - Ekonomi Syariah,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Raden Fatah Palembang - Bimbingan Dan Penyuluhan Islam,UIN Raden Fatah Palembang - Jurnalistik,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Raden Fatah Palembang - Pendidikan Bahasa Arab,UIN Raden Fatah Palembang - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Salatiga  - Hukum Keluarga Islam (Ahwal Al-Syakhshiyyah),IAIN Surakarta - Hukum Keluarga Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Raden Fatah Palembang - Psikologi Islam,UIN Raden Fatah Palembang - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam,UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Fatah Palembang - Ekonomi Syariah,UIN Raden Fatah Palembang - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Fatah Palembang - Pendidikan Guru Madrasah Ibtidaiyah,UIN Raden Fatah Palembang - Psikologi Islam
UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Arab,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Raden Fatah Palembang - Jurnalistik,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Islam
UIN Sunan Gunung Djati Bandung  - Manajemen Pendidikan Islam,UIN Raden Fatah Palembang - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Imam Bonjol Padang - Manajemen Bisnis Syariah,UIN Raden Fatah Palembang - Ilmu Hadits,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Maulana Malik Ibrahim Malang  - Hukum Keluarga Islam (Ahwal Syakhshiyyah),UIN Raden Fatah Palembang - Hukum Keluarga Islam
UIN Raden Fatah Palembang - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Raden Fatah Palembang - Pendidikan Bahasa Inggris
UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam,UIN Raden Fatah Palembang - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Fatah Palembang - Pendidikan Guru Madrasah Ibtidaiyah,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Raden Fatah Palembang - Psikologi Islam,UIN Raden Fatah Palembang - Hukum Pidana Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Walisongo Semarang  - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam
UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Raden Fatah Palembang - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Fatah Palembang - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Raden Intan Bandar Lampung  - Psikologi Islam
UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI),UIN Maulana Malik Ibrahim Malang  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Raden Fatah Palembang - Psikologi Islam,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah
UIN Raden Fatah Palembang - Bahasa dan Sastra Arab,UIN Maulana Malik Ibrahim Malang  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab
UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam,UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Maulana Malik Ibrahim Malang  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Gunung Djati Bandung  - Pendidikan Guru Madrasah Ibtidaiyah
UIN Syarif Hidayatullah Jakarta - Manajemen Pendidikan,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI)
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris,UIN Raden Fatah Palembang - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Raden Fatah Palembang - Hukum Pidana Islam,UIN Sunan Gunung Djati Bandung  - Perbandingan Madzhab dan Hukum
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Raden Fatah Palembang - Pendidikan Guru Madrasah Ibtidaiyah,IAIN Curup - Bimbingan Penyuluhan Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Raden Fatah Palembang - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Ampel Surabaya  - Bahasa dan Sastra Arab,UIN Raden Fatah Palembang - Pendidikan Agama Islam
UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Fatah Palembang - Manajemen Zakat dan Wakaf
UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Gunung Djati Bandung  - Hukum Pidana Islam,UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Raden Fatah Palembang - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Raden Fatah Palembang - Hukum Pidana Islam,UIN Raden Fatah Palembang - Psikologi Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Raden Fatah Palembang - Psikologi Islam,UIN Raden Fatah Palembang - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Sultan Maulana Hasanuddin Banten  - Ilmu Alquran dan Tafsir 
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Ampel Surabaya  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Raden Fatah Palembang - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Fatah Palembang - Perbankan Syariah
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Raden Fatah Palembang - Ilmu al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Ar-Raniry Banda Aceh - Hukum Tata Negara,UIN Raden Fatah Palembang - Hukum Pidana Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Pendidikan Guru Madrasah Ibtidaiyah
UIN Raden Fatah Palembang - Pendidikan Bahasa Inggris,UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Pendidikan Agama Islam
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Fatah Palembang - Psikologi Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Perbankan Syariah
UIN Raden Fatah Palembang - Jurnalistik,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Fatah Palembang - Bimbingan Dan Penyuluhan Islam,UIN Raden Fatah Palembang - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Inggris,UIN Raden Fatah Palembang - Pendidikan Bahasa Arab
UIN Raden Fatah Palembang - Psikologi Islam,UIN Raden Fatah Palembang - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Sejarah Peradaban Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Sejarah Peradaban Islam 
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah
UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Intan Bandar Lampung  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Ilmu Perpustakaan dan Informasi Islam ( IPII )
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,IAIN Metro - Ekonomi Syariah
UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Ampel Surabaya  - Ilmu al-Quran dan Tafsir
UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Hukum Ekonomi Syariah ( Muamalah ),IAIN Metro - Hukum Keluarga Islam (Ahwal Syakhshiyyah),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Intan Bandar Lampung  - Manajemen Dakwah,UIN Sunan Gunung Djati Bandung  - Hukum Keluarga (Ahwal Al-Syakhsiyah),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab,IAIN Metro - Pendidikan Bahasa Arab
UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah
UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Pendidikan Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Fatah Palembang - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Raden Intan Bandar Lampung  - Komunikasi dan Penyiaran Islam
UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Fatah Palembang - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,,
UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris,UIN Raden Intan Bandar Lampung  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Fatah Palembang - Perbankan Syariah
UIN Raden Intan Bandar Lampung  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Maulana Malik Ibrahim Malang  - Hukum Keluarga Islam (Ahwal Syakhshiyyah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),IAIN Surakarta - Hukum Pidana Islam ,IAIN Surakarta - Hukum Ekonomi Syariah 
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Raden Intan Bandar Lampung  - Hukum Ekonomi Syariah ( Muamalah )
UIN Raden Intan Bandar Lampung  - Manajemen Pendidikan Islam ,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Raden Intan Bandar Lampung  - Hukum Ekonomi Syariah ( Muamalah ),IAIN Jember  - Psikologi Islam
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah
UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Raden Intan Bandar Lampung  - Psikologi Islam
UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam
UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,
